Recv time     , Packet num, Sent/Rec, ID         , flags, data              , float[1]       , float[0]       , sender addr
20:42:10.000  , 1         , Received, 0x0CF11E05 ,      , 0x02BC00FA46020000, 0              , 0              , 169.254.36.193
20:42:10.050  , 2         , Received, 0x0CF11F05 ,      , 0x80A2420005000000, 0              , 0              , 169.254.36.193
20:42:10.100  , 3         , Received, 0x0CF11E05 ,      , 0x06A400C850020100, 0              , 0              , 169.254.36.193
20:42:10.150  , 4         , Received, 0x0CF11F05 ,      , 0x90A3410039000000, 0              , 0              , 169.254.36.193
20:42:10.200  , 5         , Received, 0x0CF11E05 ,      , 0x0A8C012C5A020004, 0              , 0              , 169.254.36.193
20:42:10.250  , 6         , Received, 0x0CF11F05 ,      , 0xA0A44100B7000000, 0              , 0              , 169.254.36.193
20:42:10.300  , 7         , Received, 0x0CF11E05 ,      , 0x0E7400B464020010, 0              , 0              , 169.254.36.193
20:42:10.350  , 8         , Received, 0x0CF11F05 ,      , 0xB0A54100FF000000, 0              , 0              , 169.254.36.193
20:42:10.400  , 9         , Received, 0x0CF11E05 ,      , 0x125C00A06E020000, 0              , 0              , 169.254.36.193
20:42:10.450  , 10        , Received, 0x0CF11F05 ,      , 0xC0A6420000000000, 0              , 0              , 169.254.36.193
20:42:10.500  , 11        , Received, 0x0CF11E05 ,      , 0x1644008C78020002, 0              , 0              , 169.254.36.193
20:42:10.550  , 12        , Received, 0x0CF11F05 ,      , 0xD0A7430039000000, 0              , 0              , 169.254.36.193
